ORDER,TEAM,PLAYER,POSITION,COLLEGE,PHASE,ROUND,CONFERENCE,STATE
2,Guardians,D'Juan Hines,LB,Houston,3: DF7,6,FBS - AAC,Texas
3,Roughnecks,Beniquez Brown,LB,Mississippi State,3: DF7,6,SEC,Mississippi
4,Defenders,Jameer Thurman,LB,Indiana State,3: DF7,6,FCS,Indiana
5,Wildcats,Leon Orr,DT,Florida,3: DF7,6,SEC,Florida
6,Dragons,Steven Johnson,LB,Kansas,3: DF7,6,Big 12,Kansas
7,BattleHawks,Khyri Thornton,DT,Southern Miss,3: DF7,6,FBS - CUSA,Mississippi
8,Vipers,Emmanuel Beal,LB,Oklahoma,3: DF7,6,Big 12,Oklahoma
1,Vipers,Lucas Wacha,LB,Wyoming,3: DF7,7,FBS - Mountain West,Wyoming
2,BattleHawks,Gimel President,DE,Illinois,3: DF7,7,Big Ten,Illinois
3,Dragons,Taniela Tupou,DT,Washington,3: DF7,7,Pac 12,Washington
4,Wildcats,Reggie Howard,DT,Toledo,3: DF7,7,FBS - MAC,Ohio
5,Defenders,Sam Montgomery,DE,LSU,3: DF7,7,SEC,Louisiana
6,Roughnecks,Andrew Jackson,LB,Western Kentucky,3: DF7,7,FBS - CUSA,Kentucky
7,Guardians,Jarrell Owens,DE,Oklahoma State,3: DF7,7,Big 12,Oklahoma
8,Renegades,Frank Alexander,DE,Oklahoma,3: DF7,7,Big 12,Oklahoma
1,Renegades,Jonathan Massaquoi,LB,Troy,3: DF7,8,FBS - Sun Belt,Alabama
2,Guardians,Cavon Walker,DT,Maryland,3: DF7,8,Big Ten,Maryland
3,Roughnecks,DeMarquis Gates,LB,Ole Miss,3: DF7,8,SEC,Mississippi
4,Defenders,Jonathan Celestin,LB,Minnesota,3: DF7,8,Big Ten,Minnesota
5,Wildcats,Corey Vereen,DE,Tennessee,3: DF7,8,SEC,Tennessee
6,Dragons,Danny Ezechukwu,DE,Purdue,3: DF7,8,Big Ten,Indiana
7,BattleHawks,Marcus Hardison,DT,Arizona State,3: DF7,8,Pac 12,Arizona
8,Vipers,Anthony Stubbs,LB,Prairie View A&M,3: DF7,8,FCS,Texas
1,Vipers,Jason Neill,DE,Texas-San Antonio,3: DF7,9,,
2,BattleHawks,Nicholas Grigsby,LB,Pittsburgh,3: DF7,9,,
3,Dragons,Pasoni Tasini,DT,Utah,3: DF7,9,Pac 12,Utah
4,Wildcats,Adrian Hubbard,DE,Alabama,3: DF7,9,SEC,Alabama
5,Defenders,KeShun Freeman,DE,Georgia Tech,3: DF7,9,ACC,Georgia
6,Roughnecks,Caushaud Lyons,DT,Tusculum,3: DF7,9,,
7,Guardians,Garrison Smith,DT,Georgia,3: DF7,9,SEC,Georgia
8,Renegades,Tegray Scales,LB,Indiana,3: DF7,9,Big Ten,Indiana
1,Renegades,Izaah Lunsford,DT,Bowling Green,3: DF7,10,FBS - MAC,Ohio
2,Guardians,Rykeem Yates,DE,Nevada,3: DF7,10,FBS - Mountain West,Nevada
3,Roughnecks,Drew Lewis,LB,Colorado,3: DF7,10,Pac 12,Colorado
4,Defenders,Daryle Banfield,DT,Brown,3: DF7,10,FCS,Rhode Island
5,Wildcats,Owen Roberts,DT,San Jose State,3: DF7,10,FBS - Mountain West,California
6,Dragons,Praise Martin-Oguike,DE,Temple,3: DF7,10,FBS - AAC,Pennsylvania
7,BattleHawks,Corbin Kaufisi,DE,BYU,3: DF7,10,FBS - Independent,Utah
8,Vipers,Devin Taylor,DE,South Carolina,3: DF7,10,SEC,South Carolina
