NAME,POS,COLLEGE
Jordan Thompson,DT,Northwestern
Trenton Thompson,DT,Georgia
Tyrell Thompson,DT,Tarleton State
Khyri Thornton,DT,Southern Mississippi
Nick Tompkins,DT,Dartmouth
Charles Tuaau,DT,Texas A&M-Commerce
Taniela Tupou,DT,Washington
Kalani Vakameilalo,DT,Oregon State
Jordan Wade,DT,Oklahoma
Cavon Walker,DT,Maryland
Ricky Walker,DT,Virginia Tech
Channing Ward,DT,Mississippi
Nikita Whitlock,DT,Wake Forest
Andrew Williams,DT,Auburn
Roderick Young,DT,North Texas
Frank Alexander,DE,Oklahoma
Justin Alexandre,DE,Incarnate Word
Kiante' Anderson,DE,East Carolina
Andrew Ankrah,DE,James Madison
Tavaris Barnes,DE,Clemson
Justice Bishop,DE,Union (NY)
Jordan Bradford,DE,Louisiana Tech
Quinton Bradley,DE,Idaho
Johnathan Calvin,DE,Mississippi State
Jake Ceresna,DE,Cortland State
Corey Crawford,DE,Clemson
Torrey Dale,DE,Mississippi State
Ryan Davis,DE,Bethune-Cookman
Chase DeMoor,DE,Central Washington
Brian Dolce,DE,Albany
Kony Ealy,DE,Missouri
Danny Ezechukwu,DE,Purdue
Connor Flagel,DE,Central Missouri
James Folston,DE,Pittsburgh
Marcell Frazier,DE,Missouri
KeShun Freeman,DE,Georgia Tech
Christian French,DE,Oregon
Jamell Garcia-Williams,DE,Alabama-Birmingham
Nick Giorgio,DE,Springfield
Obum Gwacham,DE,Oregon State
Charles Harris,DE,Buffalo
Malik Harris,DE,Incarnate Word
Adrian Hubbard,DE,Alabama
Farrington Huguenin,DE,Kentucky
Martin Ifedi,DE,Memphis
Eric Jackson,DE,Central Arkansas
Leo Jackson,DE,Colorado
Vincent Jackson,DE,South Florida
Alex Jenkins,DE,International
Anthony Johnson,DE,Florida International
George Johnson,DE,Rutgers
Markus Jones,DE,Angelo State
Shaq Jones,DE,Alabama-Birmingham
Ulric Jones,DE,South Carolina
Corbin Kaufusi,DE,Brigham Young
Brian Khoury,DE,Carnegie Mellon
Hau'oli Kikaha,DE,Washington
Meffy Koloamatangi,DE,Hawaii
Austin Larkin,DE,Purdue
Tramond Lofton,DE,Delta State
Stansly Maponga,DE,Texas Christian
Jamal Marcus,DE,Akron
Praise Martin-Oguike,DE,Temple
Johnny Maxey,DE,Mars Hill
Willie Mays,DE,Tiffin
Durrant Miles,DE,Boise State
Sam Montgomery,DE,Louisiana State
Deiontrez Mount,DE,Louisville
Ryan Mueller,DE,Kansas State
Myles Nash,DE,Rutgers
Dame Ndiaye,DE,Portland State
Jason Neill,DE,Texas-San Antonio
Shawn Oakman,DE,Baylor
Victor Ochi,DE,Stony Brook
Sydney Omameh,DE,Grand Valley State
Jarrell Owens,DE,Oklahoma State
Tenny Palepoi,DE,Utah
Gimel President,DE,Illinois
Quincy Redmon,DE,Fairmont State
Cedric Reed,DE,Texas
Taylor Reed,DE,Southern Methodist
Michael Reynolds,DE,Kansas
Bobby Richardson,DE,Indiana
Gerald Rivers,DE,Mississippi
Dante Sawyer,DE,South Carolina
John Sheehy,DE,West Texas A&M
Jacquies Smith,DE,Missouri
Marlon Smith,DE,Texas-San Antonio
Justin Stewart,DE,Central Oklahoma
Devin Taylor,DE,South Carolina
Aaron Tiller,DE,Southern
Immanuel Turner,DE,Louisiana Tech
Prince Unaegbu,DE,Pace
Corey Vereen,DE,Tennessee
Kevin Wilkins,DE,Rutgers
Rykeem Yates,DE,Nevada-Reno
Patrick Afriyie,LB,Colgate
Donnie Alexander,LB,Louisiana State
Bryson Allen-Williams,LB,South Carolina
Josh Banderas,LB,Nebraska
Khalil Bass,LB,Portland State
Emmanuel Beal,LB,Oklahoma
Steve Beauharnais,LB,Rutgers
Eric Beisel,LB,Missouri
Brandon Bell,LB,Penn State
BJ Blunt,LB,McNeese State
Dante Booker,LB,Ohio State
Carl Bradford,LB,Arizona State
Alex Briones,LB,Central Michigan
Arthur Brown,LB,Kansas State
Asantay Brown,LB,Western Michigan
Beniquez Brown,LB,Mississippi State
Terrance Bullitt,LB,Texas Tech
Kaelin Burnett,LB,Nevada-Reno
Jonathan Celestin,LB,Minnesota
Reshard Cliett,LB,South Florida
Te'Von Coney,LB,Notre Dame
Matt Conroy,LB,Salve Regina
Nick D'Avanzo,LB,New Mexico
Deshaun Davis,LB,Auburn
Ray Ray Davison,LB,California
Nick DeLuca,LB,North Dakota State
Ruben Demosthene,LB,Southern Nazarene
Garret Dooley,LB,Wisconsin
Koa Farmer,LB,Penn State
Marquis Flowers,LB,Arizona
Khairi Fortt,LB,California
Jabril Frazier,LB,Boise State
Kris Frost,LB,Auburn
Alex Funches,LB,California
Terence Garvin,LB,West Virginia
DeMarquis Gates,LB,Mississippi
Quentin Gause,LB,Rutgers
Frank Ginda,LB,San Jose State
Khaseem Greene,LB,Rutgers
Nicholas Grigsby,LB,Pittsburgh
Jesse Hayes,LB,Wisconsin
Ben Heeney,LB,Kansas
